year,month,year_month,date,unemployment_rate,gdp_growth_rate,fed_funds_rate,cpi,inflation_rate_yoy,consumer_confidence,sp500_index,sp500_change_6mo,avg_jobless_claims
2020,1,2020-01,2020-01-01,3.5,-5.2,1.58,259.25,,101.0,3380.16,,219750.0
2020,2,2020-02,2020-02-01,4.4,-5.2,0.25,258.076,,89.1,2529.19,,223473.68421052632
2020,3,2020-03,2020-03-01,14.8,-28.0,0.05,256.032,,71.8,2783.36,,1221263.1578947369
2020,4,2020-04,2020-04-01,13.2,-28.0,0.05,255.802,,72.3,2863.7,,1860700.0
2020,5,2020-05,2020-05-01,11.0,-28.0,0.09,257.042,,78.1,3066.59,,2148000.0
2020,6,2020-06,2020-06-01,10.2,34.9,0.1,258.352,,72.5,3215.57,,2510684.210526316
2020,7,2020-07,2020-07-01,8.4,34.9,0.1,259.316,,74.1,3372.85,,2193500.0
2020,8,2020-08,2020-08-01,7.8,34.9,0.09,259.997,,80.4,3401.2,,1364789.4736842106
2020,9,2020-09,2020-09-01,6.9,4.6,0.09,260.319,,81.8,3483.81,,1112526.3157894737
2020,10,2020-10,2020-10-01,6.7,4.6,0.09,260.911,,76.9,3585.15,,950250.0
2020,11,2020-11,2020-11-01,6.7,4.6,0.09,262.045,,80.7,3701.17,,827157.8947368421
2020,12,2020-12,2020-12-01,6.4,5.7,0.09,262.639,,79.0,3768.25,,812052.6315789474
2021,1,2021-01,2021-01-01,6.2,5.7,0.08,263.573,,76.8,,,804100.0
2021,2,2021-02,2021-02-01,6.1,5.7,0.07,264.847,,84.9,3915.46,,784368.4210526316
2021,3,2021-03,2021-03-01,6.1,7.0,0.07,266.625,,88.3,4170.42,,757842.1052631579
2021,4,2021-04,2021-04-01,5.8,7.0,0.06,268.404,,82.9,4173.85,,683500.0
2021,5,2021-05,2021-05-01,5.9,7.0,0.06,270.71,,85.5,4246.59,,591947.3684210526
2021,6,2021-06,2021-06-01,5.4,3.3,0.1,271.965,,81.2,4327.16,,511631.5789473684
2021,7,2021-07,2021-07-01,5.1,3.3,0.1,272.752,,70.3,4468.0,,446000.0
2021,8,2021-08,2021-08-01,4.7,3.3,0.08,273.942,,72.8,4480.7,,391526.3157894737
2021,9,2021-09,2021-09-01,4.5,7.0,0.08,276.528,,71.7,4471.37,,362250.0
2021,10,2021-10,2021-10-01,4.2,7.0,0.08,278.824,,67.4,4682.8,,331850.0
2021,11,2021-11,2021-11-01,3.9,7.0,0.08,280.806,,70.6,4668.67,,298210.5263157895
2021,12,2021-12,2021-12-01,4.0,-1.0,0.08,282.542,,67.2,4662.85,,268800.0
2022,1,2022-01,2022-01-01,3.8,-1.0,0.08,284.525,,62.8,4471.07,,239631.57894736843
2022,2,2022-02,2022-02-01,3.7,-1.0,0.33,287.467,,59.4,4463.12,,227157.8947368421
2022,3,2022-03,2022-03-01,3.7,0.6,0.33,288.582,,65.2,,,222052.63157894736
2022,4,2022-04,2022-04-01,3.6,0.6,0.83,291.299,,58.4,4008.01,,221050.0
2022,5,2022-05,2022-05-01,3.6,0.6,0.83,295.072,,50.0,3789.99,,214263.15789473685
2022,6,2022-06,2022-06-01,3.5,2.9,1.58,294.94,,51.5,3863.16,,213150.0
2022,7,2022-07,2022-07-01,3.6,2.9,2.33,295.162,,58.2,4297.14,,214600.0
2022,8,2022-08,2022-08-01,3.5,2.9,2.33,296.421,,58.6,3901.35,,213263.15789473685
2022,9,2022-09,2022-09-01,3.6,2.8,3.08,297.979,,59.9,3583.07,,210550.0
2022,10,2022-10,2022-10-01,3.6,2.8,3.83,298.708,,56.7,3991.73,,208368.42105263157
2022,11,2022-11,2022-11-01,3.5,2.8,4.33,298.808,,59.8,3852.36,,206894.73684210525
2022,12,2022-12,2022-12-01,3.5,2.9,4.33,300.456,,64.9,3999.09,,204850.0
2023,1,2023-01,2023-01-01,3.6,2.9,4.58,301.476,,66.9,4147.6,,207315.7894736842
2023,2,2023-02,2023-02-01,3.5,2.9,4.58,301.643,,62.0,3916.64,,211900.0
2023,3,2023-03,2023-03-01,3.4,2.5,4.83,302.858,,63.7,4137.64,,214400.0
2023,4,2023-04,2023-04-01,3.6,2.5,5.08,303.316,,59.0,4109.9,,216842.1052631579
2023,5,2023-05,2023-05-01,3.6,2.5,5.07,304.099,,64.2,4425.84,,224947.36842105264
2023,6,2023-06,2023-06-01,3.5,4.7,5.08,304.615,,71.5,4505.42,,230750.0
2023,7,2023-07,2023-07-01,3.7,4.7,5.33,306.138,,69.4,4437.86,,234631.57894736843
2023,8,2023-08,2023-08-01,3.8,4.7,5.33,307.374,,67.8,4450.32,,237894.73684210525
2023,9,2023-09,2023-09-01,3.9,3.4,5.33,307.653,,63.8,4373.63,,233300.0
2023,10,2023-10,2023-10-01,3.7,3.4,5.33,308.087,,61.3,4502.88,,225631.57894736843
2023,11,2023-11,2023-11-01,3.8,3.4,5.33,308.735,,69.7,4719.19,,220850.0
2023,12,2023-12,2023-12-01,3.7,0.8,5.33,309.794,,79.0,,,211850.0
2024,1,2024-01,2024-01-01,3.9,0.8,5.33,311.022,,76.9,5029.73,,211368.42105263157
2024,2,2024-02,2024-02-01,3.9,0.8,5.33,312.107,,79.4,5117.09,,211500.0
2024,3,2024-03,2024-03-01,3.9,3.6,5.33,313.016,,77.2,5061.82,,210900.0
2024,4,2024-04,2024-04-01,4.0,3.6,5.33,313.14,,69.1,5297.1,,213157.8947368421
2024,5,2024-05,2024-05-01,4.1,3.6,5.33,313.131,,68.2,5431.6,,217700.0
2024,6,2024-06,2024-06-01,4.2,3.3,5.33,313.566,,66.4,5667.2,,222736.84210526315
2024,7,2024-07,2024-07-01,4.2,3.3,5.33,314.131,,67.9,5543.22,,227105.26315789475
2024,8,2024-08,2024-08-01,4.1,3.3,5.33,314.851,,70.1,5626.02,,230900.0
2024,9,2024-09,2024-09-01,4.1,1.9,4.83,315.564,,70.5,5842.47,,234105.26315789475
2024,10,2024-10,2024-10-01,4.2,1.9,4.58,316.449,,71.8,5870.62,,230789.47368421053
2024,11,2024-11,2024-11-01,4.1,1.9,4.58,317.603,,74.0,6074.08,,227850.0
2024,12,2024-12,2024-12-01,4.0,-0.6,4.33,319.086,,71.7,5949.91,,223842.1052631579
