symbol,cik,acceptanceTime,periodOfReport,companyName,formType,filingDate,employeeCount,source,company,ticker
AMZN,0001018724,2025-02-06 18:40:29,2024-12-31,"Amazon.com, Inc.",10-K,2025-02-07,1556000,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/0001018724-25-000004-index.htm,amazon,AMZN
AMZN,0001018724,2024-02-01 18:48:30,2023-12-31,"Amazon.com, Inc.",10-K,2024-02-02,1525000,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.htm,amazon,AMZN
AMZN,0001018724,2023-02-02 18:27:34,2022-12-31,"Amazon.com, Inc.",10-K,2023-02-03,1541000,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,amazon,AMZN
AMZN,0001018724,2022-02-03 18:46:51,2021-12-31,"Amazon.com, Inc.",10-K,2022-02-04,1608000,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm,amazon,AMZN
AMZN,0001018724,2021-02-02 19:44:10,2020-12-31,"Amazon.com, Inc.",10-K,2021-02-03,1298000,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,amazon,AMZN
AMZN,0001018724,2020-01-30 20:46:13,2019-12-31,"Amazon.com, Inc.",10-K,2020-01-31,798000,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.htm,amazon,AMZN
AMZN,0001018724,2019-01-31 20:22:40,2018-12-31,"Amazon.com, Inc.",10-K,2019-02-01,647500,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.htm,amazon,AMZN
AMZN,0001018724,2018-02-01 20:41:15,2017-12-31,"Amazon.com, Inc.",10-K,2018-02-02,566000,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/0001018724-18-000005-index.htm,amazon,AMZN
AMZN,0001018724,2017-02-09 17:56:36,2016-12-31,"Amazon.com, Inc.",10-K,2017-02-10,341400,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000011/0001018724-17-000011-index.htm,amazon,AMZN
AMZN,0001018724,2016-01-28 19:38:11,2015-12-31,"Amazon.com, Inc.",10-K,2016-01-29,230800,https://www.sec.gov/Archives/edgar/data/1018724/000101872416000172/0001018724-16-000172-index.htm,amazon,AMZN
AMZN,0001018724,2015-01-29 19:38:08,2014-12-31,"Amazon.com, Inc.",10-K,2015-01-30,154100,https://www.sec.gov/Archives/edgar/data/1018724/000101872415000006/0001018724-15-000006-index.htm,amazon,AMZN
AMZN,0001018724,2014-01-30 21:52:38,2013-12-31,"Amazon.com, Inc.",10-K,2014-01-31,117300,https://www.sec.gov/Archives/edgar/data/1018724/000101872414000006/0001018724-14-000006-index.htm,amazon,AMZN
AMZN,0001018724,2013-01-29 19:13:32,2012-12-31,"Amazon.com, Inc.",10-K,2013-01-30,88400,https://www.sec.gov/Archives/edgar/data/1018724/000119312513028520/0001193125-13-028520-index.htm,amazon,AMZN
AMZN,0001018724,2012-01-31 21:58:32,2011-12-31,"Amazon.com, Inc.",10-K,2012-02-01,56200,https://www.sec.gov/Archives/edgar/data/1018724/000119312512032846/0001193125-12-032846-index.htm,amazon,AMZN
AMZN,0001018724,2011-01-27 20:08:28,2010-12-31,"Amazon.com, Inc.",10-K,2011-01-28,33700,https://www.sec.gov/Archives/edgar/data/1018724/000119312511016253/0001193125-11-016253-index.htm,amazon,AMZN
AMZN,0001018724,2010-01-28 21:42:22,2009-12-31,"Amazon.com, Inc.",10-K,2010-01-29,24300,https://www.sec.gov/Archives/edgar/data/1018724/000119312510016098/0001193125-10-016098-index.htm,amazon,AMZN
AMZN,0001018724,2009-01-29 18:48:15,2008-12-31,"Amazon.com, Inc.",10-K,2009-01-30,20700,https://www.sec.gov/Archives/edgar/data/1018724/000119312509014406/0001193125-09-014406-index.htm,amazon,AMZN
AMZN,0001018724,2008-02-08 21:43:32,2007-12-31,"Amazon.com, Inc.",10-K,2008-02-11,17000,https://www.sec.gov/Archives/edgar/data/1018724/000119312508024707/0001193125-08-024707-index.htm,amazon,AMZN
AMZN,0001018724,2007-02-16 16:14:12,2006-12-31,"Amazon.com, Inc.",10-K,2007-02-16,13900,https://www.sec.gov/Archives/edgar/data/1018724/000119312507034081/0001193125-07-034081-index.htm,amazon,AMZN
AMZN,0001018724,2006-02-17 08:52:50,2005-12-31,"Amazon.com, Inc.",10-K,2006-02-17,12000,https://www.sec.gov/Archives/edgar/data/1018724/000119312506034166/0001193125-06-034166-index.htm,amazon,AMZN
AMZN,0001018724,2005-03-11 06:20:27,2004-12-31,"Amazon.com, Inc.",10-K,2005-03-11,9000,https://www.sec.gov/Archives/edgar/data/1018724/000119312505047032/0001193125-05-047032-index.htm,amazon,AMZN
AMZN,0001018724,2004-02-25 17:25:47,2003-12-31,"Amazon.com, Inc.",10-K,2004-02-25,7800,https://www.sec.gov/Archives/edgar/data/1018724/000119312504029488/0001193125-04-029488-index.htm,amazon,AMZN
AMZN,0001018724,2003-02-19 08:03:25,2002-12-31,"Amazon.com, Inc.",10-K,2003-02-19,7500,https://www.sec.gov/Archives/edgar/data/1018724/000095014903000355/0000950149-03-000355-index.htm,amazon,AMZN
AMZN,0001018724,2002-01-24 00:00:00,2001-12-31,"Amazon.com, Inc.",10-K405,2002-01-24,7800,https://www.sec.gov/Archives/edgar/data/1018724/000103221002000059/0001032210-02-000059-index.htm,amazon,AMZN
AMZN,0001018724,2001-03-23 00:00:00,2000-12-31,"Amazon.com, Inc.",10-K405,2001-03-23,9000,https://www.sec.gov/Archives/edgar/data/1018724/000103221001500087/0001032210-01-500087-index.htm,amazon,AMZN
AMZN,0001018724,2000-03-29 00:00:00,1999-12-31,"Amazon.com, Inc.",10-K,2000-03-29,7600,https://www.sec.gov/Archives/edgar/data/1018724/000089102000000622/0000891020-00-000622-index.html,amazon,AMZN
AMZN,0001018724,1999-03-05 00:00:00,1998-12-31,"Amazon.com, Inc.",10-K,1999-03-05,2100,https://www.sec.gov/Archives/edgar/data/1018724/000089102099000375/0000891020-99-000375-index.html,amazon,AMZN
AMZN,0001018724,1998-03-30 00:00:00,1997-12-31,"Amazon.com, Inc.",10-K405,1998-03-30,614,https://www.sec.gov/Archives/edgar/data/1018724/000089102098000448/0000891020-98-000448-index.html,amazon,AMZN
GOOGL,0001652044,2025-02-04 20:41:40,2024-12-31,Alphabet Inc.,10-K,2025-02-05,183323,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm,google,GOOGL
GOOGL,0001652044,2024-01-30 21:43:43,2023-12-31,Alphabet Inc.,10-K,2024-01-31,182502,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm,google,GOOGL
GOOGL,0001652044,2023-02-02 21:23:45,2022-12-31,Alphabet Inc.,10-K,2023-02-03,190234,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,google,GOOGL
GOOGL,0001652044,2022-02-01 21:08:02,2021-12-31,Alphabet Inc.,10-K,2022-02-02,156500,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm,google,GOOGL
GOOGL,0001652044,2021-02-02 20:12:25,2020-12-31,Alphabet Inc.,10-K,2021-02-03,135301,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,google,GOOGL
GOOGL,0001652044,2020-02-03 21:03:59,2019-12-31,Alphabet Inc.,10-K,2020-02-04,118899,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,google,GOOGL
GOOGL,0001652044,2019-02-04 21:06:38,2018-12-31,Alphabet Inc.,10-K,2019-02-05,98771,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/0001652044-19-000004-index.htm,google,GOOGL
GOOGL,0001652044,2018-02-05 20:46:29,2017-12-31,Alphabet Inc.,10-K,2018-02-06,80110,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/0001652044-18-000007-index.htm,google,GOOGL
GOOGL,0001652044,2017-02-02 18:13:47,2016-12-31,Alphabet Inc.,10-K,2017-02-03,72053,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/0001652044-17-000008-index.htm,google,GOOGL
GOOGL,0001652044,2016-02-11 16:38:35,2015-12-31,Alphabet Inc.,10-K,2016-02-11,61814,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/0001652044-16-000012-index.htm,google,GOOGL
MSFT,0000789019,2025-07-30 16:11:40,2025-06-30,Microsoft Corporation,10-K,2025-07-30,228000,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm,microsoft,MSFT
MSFT,0000789019,2024-07-30 16:06:22,2024-06-30,Microsoft Corporation,10-K,2024-07-30,228000,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,microsoft,MSFT
MSFT,0000789019,2023-07-27 16:01:56,2023-06-30,Microsoft Corporation,10-K,2023-07-27,221000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,microsoft,MSFT
MSFT,0000789019,2022-07-28 16:06:19,2022-06-30,Microsoft Corporation,10-K,2022-07-28,221000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,microsoft,MSFT
MSFT,0000789019,2021-07-29 16:21:55,2021-06-30,Microsoft Corporation,10-K,2021-07-29,181000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,microsoft,MSFT
MSFT,0000789019,2020-07-30 20:44:46,2020-06-30,Microsoft Corporation,10-K,2020-07-30,163000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,microsoft,MSFT
MSFT,0000789019,2019-08-01 16:09:55,2019-06-30,Microsoft Corporation,10-K,2019-08-01,144000,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,microsoft,MSFT
MSFT,0000789019,2018-08-03 11:03:33,2018-06-30,Microsoft Corporation,10-K,2018-08-03,131000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,microsoft,MSFT
MSFT,0000789019,2017-08-02 16:15:01,2017-06-30,Microsoft Corporation,10-K,2017-08-02,124000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,microsoft,MSFT
MSFT,0000789019,2016-07-28 16:12:18,2016-06-30,Microsoft Corporation,10-K,2016-07-28,114000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,microsoft,MSFT
MSFT,0000789019,2015-07-31 15:07:52,2015-06-30,Microsoft Corporation,10-K,2015-07-31,118000,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,microsoft,MSFT
MSFT,0000789019,2014-07-31 17:16:52,2014-06-30,Microsoft Corporation,10-K,2014-07-31,128000,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,microsoft,MSFT
MSFT,0000789019,2013-07-30 16:14:49,2013-06-30,Microsoft Corporation,10-K,2013-07-30,99000,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,microsoft,MSFT
MSFT,0000789019,2012-07-26 16:12:48,2012-06-30,Microsoft Corporation,10-K,2012-07-26,94000,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,microsoft,MSFT
MSFT,0000789019,2011-07-28 14:59:09,2011-06-30,Microsoft Corporation,10-K,2011-07-28,90000,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,microsoft,MSFT
