company,date,metric,value,form,fiscal_year,fiscal_period
10x genomics,2017-12-31,revenue,71085000,10-K,2019,FY
10x genomics,2018-03-31,revenue,27408000,10-K,2019,FY
10x genomics,2018-06-30,revenue,31744000,10-K,2019,FY
10x genomics,2018-09-30,revenue,95759000,10-Q,2019,Q3
10x genomics,2018-09-30,revenue,36607000,10-Q,2019,Q3
10x genomics,2018-09-30,revenue,36607000,10-K,2019,FY
10x genomics,2018-12-31,revenue,146313000,10-K,2019,FY
10x genomics,2018-12-31,revenue,50554000,10-K,2019,FY
10x genomics,2019-03-31,revenue,53578000,10-K,2019,FY
10x genomics,2019-03-31,revenue,53578000,10-Q,2020,Q1
10x genomics,2019-06-30,revenue,55819000,10-K,2019,FY
10x genomics,2019-09-30,revenue,170604000,10-Q,2019,Q3
10x genomics,2019-09-30,revenue,61207000,10-Q,2019,Q3
10x genomics,2019-09-30,revenue,61207000,10-K,2019,FY
10x genomics,2019-12-31,revenue,245893000,10-K,2019,FY
10x genomics,2019-12-31,revenue,75289000,10-K,2019,FY
10x genomics,2020-03-31,revenue,71905000,10-Q,2020,Q1
10x genomics,2017-12-31,cost_of_revenue,10560000,10-K,2019,FY
10x genomics,2018-09-30,cost_of_revenue,13761000,10-Q,2019,Q3
10x genomics,2018-09-30,cost_of_revenue,5241000,10-Q,2019,Q3
10x genomics,2018-12-31,cost_of_revenue,28661000,10-K,2019,FY
10x genomics,2018-12-31,cost_of_revenue,28661000,10-K,2020,FY
10x genomics,2019-03-31,cost_of_revenue,13965000,10-Q,2020,Q1
10x genomics,2019-06-30,cost_of_revenue,28971000,10-Q,2020,Q2
10x genomics,2019-06-30,cost_of_revenue,15006000,10-Q,2020,Q2
10x genomics,2019-09-30,cost_of_revenue,44451000,10-Q,2019,Q3
10x genomics,2019-09-30,cost_of_revenue,44451000,10-Q,2020,Q3
10x genomics,2019-09-30,cost_of_revenue,15480000,10-Q,2019,Q3
10x genomics,2019-09-30,cost_of_revenue,15480000,10-Q,2020,Q3
10x genomics,2019-12-31,cost_of_revenue,61033000,10-K,2019,FY
10x genomics,2019-12-31,cost_of_revenue,61033000,10-K,2020,FY
10x genomics,2019-12-31,cost_of_revenue,61033000,10-K,2021,FY
10x genomics,2020-03-31,cost_of_revenue,15108000,10-Q,2020,Q1
10x genomics,2020-03-31,cost_of_revenue,15108000,10-Q,2021,Q1
10x genomics,2020-06-30,cost_of_revenue,25160000,10-Q,2020,Q2
10x genomics,2020-06-30,cost_of_revenue,25160000,10-Q,2021,Q2
10x genomics,2020-06-30,cost_of_revenue,10052000,10-Q,2020,Q2
10x genomics,2020-06-30,cost_of_revenue,10052000,10-Q,2021,Q2
10x genomics,2020-09-30,cost_of_revenue,39571000,10-Q,2020,Q3
10x genomics,2020-09-30,cost_of_revenue,39571000,10-Q,2021,Q3
10x genomics,2020-09-30,cost_of_revenue,14411000,10-Q,2020,Q3
10x genomics,2020-09-30,cost_of_revenue,14411000,10-Q,2021,Q3
